timestamp,filename,valid_file,pred_class,pred_prob
2018-03-23 12:12,kc_test-20180323-120329.png,True,people,0.96047086
2018-03-23 12:13,kc_test-20180323-120329.png,True,people,0.96047086
2018-03-23 12:14,kc_test-20180323-120329.png,True,people,0.96047086
2018-03-23 12:20,kc-20180323-122034.png,True,dirty,0.8153649
2018-03-23 12:21,kc-20180323-122142.png,True,dirty,0.8286441
2018-03-23 12:23,kc-20180323-122255.png,True,dirty,0.68564504
2018-03-23 12:25,kc-20180323-122526.png,True,dirty,0.52238953
2018-03-23 12:26,kc-20180323-122633.png,True,dirty,0.5858745
2018-03-23 12:27,kc-20180323-122740.png,True,dirty,0.79004586
2018-03-23 12:28,kc-20180323-122850.png,True,dirty,0.7763425
2018-03-23 12:30,kc-20180323-122958.png,True,dirty,0.7740067
2018-03-23 12:31,kc-20180323-123105.png,True,dirty,0.54141504
2018-03-23 12:32,kc-20180323-123212.png,True,dirty,0.5542356
2018-03-23 12:33,kc-20180323-123319.png,True,dirty,0.62692285
2018-03-23 12:34,kc-20180323-123426.png,True,dirty,0.6009085
2018-03-23 12:35,kc-20180323-123533.png,True,dirty,0.64822394
2018-03-23 12:36,kc-20180323-123641.png,True,dirty,0.51583695
2018-03-23 12:37,kc-20180323-123747.png,True,dirty,0.6621561
2018-03-23 12:39,kc-20180323-123854.png,True,dirty,0.647537
2018-03-23 12:40,kc-20180323-124002.png,True,dirty,0.7625699
2018-03-23 12:41,kc-20180323-124109.png,True,dirty,0.72003376
2018-03-23 12:42,kc-20180323-124216.png,True,dirty,0.54670674
2018-03-23 12:43,kc-20180323-124323.png,True,clean,0.5445719
2018-03-23 12:44,kc-20180323-124430.png,True,dirty,0.67226994
